r,n,s,S,c
51455,17,10,16,46363
51519,16,9,15,30947
51615,22,13,21,39241
51663,17,9,16,15517
51679,24,14,23,29467
51695,21,12,20,26201
51871,18,10,17,23369
51903,19,11,18,35075
51951,18,10,17,23405
51967,20,9,19,1951
51999,22,13,21,39533
52031,18,10,17,23441
52207,22,13,21,39691
52223,19,11,18,35291
52335,19,10,18,11789
52415,19,10,18,11807
52431,17,10,16,47243
52463,22,12,21,13295
52527,19,11,18,35497
52639,22,13,21,40019
52687,16,9,15,31649
52735,19,10,18,11879
52767,19,11,18,35659
52847,16,9,15,31745
52895,23,13,22,20107
52927,19,11,18,35767
52991,20,11,19,17905
53039,18,6,17,295
53119,18,8,17,2659
53183,21,10,20,2995
53279,19,11,18,36005
53295,17,9,16,16007
53359,19,11,18,36059
53439,17,10,16,48151
53503,24,13,23,10169
53551,19,9,18,4021
53695,17,9,16,16127
53759,19,11,18,36329
53791,19,9,18,4039
53807,20,11,19,18181
53871,19,9,18,4045
53887,18,10,17,24277
53919,17,10,16,48583
53967,22,13,21,41029
53983,16,6,15,1201
53999,22,13,21,41053
54015,20,11,19,18251
54239,16,9,15,32581
54303,17,10,16,48929
54319,21,10,20,3059
54463,23,12,22,6901
54495,16,9,15,32735
54575,16,9,15,32783
54751,17,10,16,49333
54767,17,8,16,5483
54783,22,12,21,13883
54815,16,9,15,32927
54975,16,9,15,33023
54991,20,11,19,18581
55167,22,13,21,41941
55231,21,11,20,9331
55263,20,11,19,18673
55327,19,10,18,12463
55343,22,11,21,4675
55359,22,12,21,14029
55407,19,10,18,12481
55423,18,9,17,8323
55503,21,11,20,9377
55519,17,9,16,16675
55535,17,10,16,50039
55679,17,9,16,16723
55711,16,8,15,11155
55871,16,6,15,1243
55919,19,11,18,37789
55999,17,9,16,16819
56047,23,13,22,21305
56063,20,11,19,18943
56127,16,9,15,33715
56175,20,8,19,703
56191,18,10,17,25315
56287,17,10,16,50717
56303,22,13,21,42805
56351,19,11,18,38081
56383,16,9,15,33869
56431,19,11,18,38135
56447,23,13,22,21457
56511,19,11,18,38189
56559,22,12,21,14333
56639,18,10,17,25517
56703,16,9,15,34061
56735,22,13,21,43133
56815,23,12,22,7199
57071,17,9,16,17141
57119,16,8,15,11437
57199,16,8,15,11453
57215,17,10,16,51553
57327,18,9,17,8609
57375,17,10,16,51697
57407,18,9,17,8621
57583,23,13,22,21889
57599,16,8,15,11533
57663,24,14,23,32879
57759,17,10,16,52043
57839,17,10,16,52115
58015,16,9,15,34849
58063,17,8,16,5813
58095,22,13,21,44167
58143,17,8,16,5821
58175,18,10,17,26209
58223,17,7,16,1943
58271,16,9,15,35003
58351,16,9,15,35051
58367,19,11,18,39443
58495,18,10,17,26353
58527,17,10,16,52735
58687,24,14,23,33463
58751,21,12,20,29777
58783,23,13,22,22345
58831,22,12,21,14909
58863,18,10,17,26519
59135,20,11,19,19981
59167,16,7,15,3949
59247,20,10,19,6673
59263,18,10,17,26699
59295,17,9,16,17809
59327,16,8,15,11879
59455,22,12,21,15067
59599,21,11,20,10069
59647,21,10,20,3359
59807,22,13,21,45469
59855,21,12,20,30337
59887,21,12,20,30353
59951,18,8,17,3001
